Mission ID,Mission Name,Launch Date,Target Type,Target Name,Mission Type,Distance from Earth (light-years),Mission Duration (years),Mission Cost (billion USD),Scientific Yield (points),Crew Size,Mission Success (%),Fuel Consumption (tons),Payload Weight (tons),Launch Vehicle,Anomaly
MSN-0001,Mission-1,2025-01-01,Star,Titan,Colonization,7.05,5.2,526.68,64.3,21,100.0,731.88,99.78,SLS,-1
MSN-0005,Mission-5,2025-01-29,Exoplanet,Proxima b,Mining,8.67,9.2,72.14,96.5,31,73.2,892.76,12.4,Starship,-1
MSN-0016,Mission-16,2025-04-16,Moon,Io,Exploration,0.65,3.1,495.63,37.2,86,100.0,159.52,95.5,Starship,-1
MSN-0028,Mission-28,2025-07-09,Moon,Mars,Mining,2.44,4.4,41.36,66.4,81,67.4,248.33,6.8,Falcon Heavy,-1
MSN-0029,Mission-29,2025-07-16,Star,Betelgeuse,Research,8.4,8.5,312.53,54.0,88,100.0,857.78,55.68,SLS,-1
MSN-0031,Mission-31,2025-07-30,Asteroid,Proxima b,Colonization,4.23,4.7,484.77,99.4,15,100.0,448.31,87.32,Ariane 6,-1
MSN-0042,Mission-42,2025-10-15,Planet,Titan,Research,46.85,26.3,117.58,96.8,93,83.9,4657.59,15.99,Ariane 6,-1
MSN-0045,Mission-45,2025-11-05,Moon,Proxima b,Colonization,1.66,4.8,77.28,58.0,70,82.7,81.54,8.98,Falcon Heavy,-1
MSN-0046,Mission-46,2025-11-12,Planet,Ceres,Mining,13.19,9.3,486.49,88.3,6,100.0,1295.44,94.02,Falcon Heavy,-1
MSN-0049,Mission-49,2025-12-03,Moon,Ceres,Research,24.87,16.5,444.51,21.2,3,100.0,2383.75,83.02,SLS,-1
MSN-0057,Mission-57,2026-01-28,Star,Betelgeuse,Exploration,34.45,21.7,74.62,53.5,65,74.6,3445.9,13.31,SLS,-1
MSN-0062,Mission-62,2026-03-04,Star,Titan,Exploration,34.77,22.2,57.6,28.3,32,70.2,3445.51,4.99,SLS,-1
MSN-0066,Mission-66,2026-04-01,Star,Europa,Colonization,4.67,4.2,498.39,54.3,83,100.0,396.72,93.66,SLS,-1
MSN-0071,Mission-71,2026-05-06,Planet,Proxima b,Exploration,9.34,7.7,65.12,84.5,33,74.0,909.96,3.18,SLS,-1
